Brand,Names,Prices,Url
Hp,"Mini Laptop Intel Celeron 4GB,64GB Wins10s 11.6+32gb Flash","₦ 65,900 ",https://www.jumia.com.ng/hp-mini-laptop-intel-celeron-4gb64gb-wins10s-11.632gb-flash-43729025.html
Canon,"Pixma TS3140 AIO Wireless Printer Print, Scan & Copy - Black","₦ 13,990 ",https://www.jumia.com.ng/canon-pixma-ts3140-aio-wireless-printer-print-scan-copy-black-27788489.html
Apple,Mac-book Pro 2017 16gb 256ssd Core I7 Quality Brand,"₦ 730,000 ",https://www.jumia.com.ng/apple-mac-book-pro-2017-16gb-256ssd-core-i7-quality-brand-25126505.html
Asus,Vivobook X541SA-XO632T Intel Celeron  N3060 (4GB RAM 500GB HDD) 15.6-Inch Windows 10 Laptop - Black,"₦ 76,500 ",https://www.jumia.com.ng/asus-vivobook-x541sa-xo632t-intel-celeron-n3060-4gb-ram-500gb-hdd-15.6-inch-windows-10-laptop-black-36234759.html
SanDisk,16GB Ultra OTG Dual USB Flash Drive,"₦ 2,150 ",https://www.jumia.com.ng/16gb-ultra-otg-dual-usb-flash-drive-1-unit-per-customer-sandisk-mpg257081.html
Hp,Pavilion X360 14 Touch Core I5 8GB RAM-1TB HDD-backlit Keyboard-win 10,"₦ 220,000 ",https://www.jumia.com.ng/hp-pavilion-x360-14-touch-core-i5-8gb-ram-1tb-hdd-backlit-keyboard-win-10-44260038.html
Hp,Spectre X360 15t-df00(Gaming Edition) - 15.6'' 4K OLED Touch + Fingerprint - I7-8750H(6 Cores) - 16gb Ram + 16gb Optane - 1TB SSD - Nvidia GeForce GTX 1050ti - Stylus Pen + Leather Sleeve.,"₦ 650,000 ",https://www.jumia.com.ng/hp-spectre-x360-15t-df00gaming-edition-15.6-4k-oled-touch-fingerprint-i7-8750h6-cores-16gb-ram-16gb-optane-1tb-ssd-nvidia-geforce-gtx-1050ti-stylus-pen-leather-sleeve.-45140047.html
DELL,"XPS 15 9570:Intel Core I9-8950HK, 2TB SSD/32GB,4GB NVIDIA,4K  Win10","₦ 645,000 ",https://www.jumia.com.ng/dell-xps-15-9570intel-core-i9-8950hk-2tb-ssd32gb4gb-nvidia4k-win10-43589406.html
Apple,Macbook Air 13.3 Inches 8GB RAM 256GB 2017,"₦ 499,999 ",https://www.jumia.com.ng/macbook-air-13.3-inches-8gb-ram-256gb-2017-apple-mpg286889.html
,Anti Theft Travel Laptop Bag With USB Charging Port - Black,"₦ 5,300 ",https://www.jumia.com.ng/generic-anti-theft-travel-laptop-bag-with-usb-charging-port-black-42594881.html
