Brand,Names,Prices,Url
Hp,"15-DW0037 Core I3 8145U 8th Gen 1TB 8GB 15.6"" (1366x768) BT WIN10 Webcam + Wireless Mouse","₦ 123,900 ",https://www.jumia.com.ng/hp-15-dw0037-core-i3-8145u-8th-gen-1tb-8gb-15.6-1366x768-bt-win10-webcam-wireless-mouse-45060465.html
,17 Inches Anti Theft Waterproof Laptop Backpack - Grey,"₦ 6,500 ",https://www.jumia.com.ng/17-inches-anti-theft-waterproof-laptop-backpack-grey-generic-mpg1206992.html
Lenovo,"Ideapad  4GBRAM - 1TB HDD Intel Celeron Dual Core= 32GB Flash, Mouse - USB Light - Up To 2.4Ghz) Windows 10 Laptop","₦ 79,500 ",https://www.jumia.com.ng/lenovo-ideapad-4gbram-1tb-hdd-intel-celeron-dual-core-32gb-flash-mouse-usb-light-up-to-2.4ghz-windows-10-laptop-33328237.html
Hp,15-bs152nia Intel Core I3 4GB RAM 1TB HDD Windows 10 Laptop,"₦ 121,990 ",https://www.jumia.com.ng/hp-15-bs152nia-intel-core-i3-4gb-ram-1tb-hdd-windows-10-laptop-43756383.html
Hp,"Envy X360 15 Intel Core I7 8550U (16GB RAM,512SSD,4GB NVIDIA GeForce +1TB External HDD) Windows 10 - Silver","₦ 395,000 ",https://www.jumia.com.ng/envy-x360-15-intel-core-i7-8550u-16gb-ram512ssd4gb-nvidia-geforce-1tb-external-hdd-windows-10-silver-hp-mpg311341.html
SanDisk,32GB Ultra OTG (Dual Drive M3.0),"₦ 3,289 ",https://www.jumia.com.ng/sandisk-32gb-ultra-otg-dual-drive-m3.0-32228582.html
Hp,"HP PAVILION 15 Core"" I7 2.8GHz 1TB 12GB 15.6  WIN 10","₦ 305,000 ",https://www.jumia.com.ng/hp-hp-pavilion-15-core-i7-2.8ghz-1tb-12gb-15.6-win-10-27180968.html
Dolphin Wills,Rechargeable Wireless Mouse - No Need For Battery Again,"₦ 4,499 ",https://www.jumia.com.ng/ultra-slick-rechargeable-wireless-mouse-no-need-for-battery-again-dolphin-wills-mpg271726.html
Hp,ENVY X360 â€“ 15-CN0003CA Intel Core I7 Laptop 15.6 Inch 16GB 512GB SSD Windows 10,"₦ 370,000 ",https://www.jumia.com.ng/hp-envy-x360-a-15-cn0003ca-intel-core-i7-laptop-15.6-inch-16gb-512gb-ssd-windows-10-43574420.html
,"Life Saving Unisex Blue Light Blocking Glasses For Computer Use, Anti Eyestrain UV Filter Lens Lightweight Frame Eyeglasses, Black.","₦ 3,000 ",https://www.jumia.com.ng/generic-life-saving-unisex-blue-light-blocking-glasses-for-computer-use-anti-eyestrain-uv-filter-lens-lightweight-frame-eyeglasses-black.-42268009.html
